StateWellNumber,WellDepth_x,LatitudeDD_x,LongitudeDD_x,TEMPERATURE_CELSIUS,SPECIFIC CONDUCTANCE,PH,ALKALINITY,PHOSPHORUS_DIS,HARDNESS_total,CALCIUM_DIS,MAGNESIUM_DIS,SODIUM_DIS,SODIUM_AD_RAT_SAR,SODIUM_%,POTASSIUM_DIS,CHLORIDE_DIS,SULFATE_DIS,SILICA_DIS,ARSENIC_DIS,Mn_DIS,STRONTIUM_DIS,TOTAL DISSOLVED SOLIDS,WellDepth_y,LatitudeDD_y,LongitudeDD_y,WaterLevel,LatitudeDD,LongitudeDD,claytotal_l,claytotal_r,claytotal_h,chtexture_OBJECTID,chtexture_texcl,FLUORIDE_DIS,Y_value,tex_index
2944519,250,32.325,-100.575278,20.05,966.5,7.105,222.5,,289.5,101.65,8.555,106.95,2.73,44.5,1.935,69.4,105.3,17.35,1.5,19.33,403.5,628,250,32.325,-100.575278,125.305,32.33,-100.58,20,28,35,71538,Clay loam,1.83,1,2
2948905,180,32.271667,-100.013612,20.5,719,6.98,271,,296,97.8,12.6,26.1,0.66,16,1.67,42.9,33.1,15,2,1,413,394,180,32.271667,-100.013612,119.35,32.27,-100.01,20,28,35,71643,Clay loam,0.3,0,2
2953205,230,32.2344444,-100.4572222,20.76666667,625.3333333,7.056666667,229.3333333,0.02,260.595,80.2,14.56666667,26.16666667,0.706666667,17.81066667,2.836666667,36.03333333,27.26666667,19.13333333,2.27,1,556,356.6633333,230,32.2344444,-100.4572222,166,32.23,-100.46,20,28,35,71538,Clay loam,0.417666667,0,2
4409502,59,31.8034361,-101.9484111,19.6,1070,7.27,181,,312,92.3,19.6,106,2.61,42,5.89,110,191,32.2,4.57,1,1020,682,59,31.8034361,-101.9484111,32.55391304,31.8,-101.95,15,23.2,27,80079,Loam,1.04,1,4
4412312,270,31.8638722,-101.5279444,23.45,564.5,6.945,214.5,0.02,212.5055,58.55,15.7,39.45,1.1835,28.992,3.47,18.5,47,12,1.69,1,1415,339.2575,270,31.8638722,-101.5279444,163.35,31.86,-101.53,20,26,35,80743,Clay loam,1.45,1,2
4417409,255,31.6941667,-101.9919444,21.875,1813.5,7.095,179.25,0.02,872.16275,251.75,57.325,132.025,1.8555,23.76725,5.25,120,742.5,22.025,3.4725,1.02,6392.5,1486.78275,255,31.6941667,-101.9919444,170.8923077,31.69,-101.99,10,28,30,80087,Sandy loam,2.6775,1,6
4417410,250,31.6921389,-101.9911667,21.46666667,1086.833333,7.02,160.3333333,0.07175,524.4401667,148.5,36.1,56.3,1.07,18.8845,5.536666667,31.61666667,385.3333333,10.77833333,1.673333333,1.003333333,4240,813.9588333,250,31.6921389,-101.9911667,204.52,31.69,-101.99,10,28,30,80087,Sandy loam,2.483333333,1,6
4418214,176,31.7339306,-101.7966028,20.775,817,7.18,196.25,0.02,321.75,98.9,17.375,48.2,1.17,24.75,4.6975,43,150.5,13.825,1.75,9.1125,2845,516.5,176,31.7339306,-101.7966028,111.7808696,31.73,-101.8,10,28,30,80087,Sandy loam,1.245,1,6
4436810,235,31.415834,-101.548889,21.35,2570,7.15,202.5,,835.5,159,105.5,332,5.01,46,12.65,311,956.5,11.65,1.78,51.5,3950,2030.5,235,31.415834,-101.548889,106.7,31.42,-101.55,18,22.5,27,89097,Loam,2.745,1,4
4445702,200,31.2823417,-101.4861389,20.75,1412.5,7.36,186,0.02,525,105,62.85,98.85,1.88,29,2.395,106,348,20,2,4.81,3790,912,200,31.2823417,-101.4861389,134.4086667,31.28,-101.49,18,22.5,27,89097,Loam,2.185,1,4
4449216,375,31.237778,-101.944167,21.4,1661.333333,7.183333333,207,0.02,704.3333333,163,71.16666667,109.9666667,1.783333333,24.33333333,3.77,118.3333333,558,14.73333333,1.68,1.006666667,3590,1198.333333,375,31.237778,-101.944167,178.8,31.24,-101.94,15,25,35,89102,Loam,2.05,1,4
4461303,120,31.099445,-101.390556,21,648,7.06,216,,258,89.1,8.59,19,0.51,13,7.53,43,23.9,27.4,3.36,1.27,553,371,120,31.099445,-101.390556,54.2,31.1,-101.39,30,37.5,45,89162,Clay,0.29,0,1
4504120,170,31.9888889,-102.6152778,22.45,1927.75,6.7925,230.25,0.023266667,1182.79925,348.25,74.5,530,6.4695,47.62175,13.5975,1137.5,556.75,35.5,5.3175,7.75,5457.5,2853.57175,170,31.9888889,-102.6152778,111.2195652,31.99,-102.62,20,26,35,79473,Clay loam,1.2525,1,2
4505705,140,31.9151944,-102.4789167,20.6,1200,7.113333333,223.6666667,0.02,434.6976667,118.5,33,92.36666667,1.924666667,31.92233333,5.22,137.8,215.3333333,60.53333333,6.436666667,2.583333333,2786.666667,817.933,140,31.9151944,-102.4789167,67.43285714,31.92,-102.48,8,14,20,79340,Fine sandy loam,2.34,1,3
4506809,120,31.887222,-102.296945,22.05,1728,6.905,276,0.02,712.5,211.5,44.1,209,3.38,39,7.665,451.5,259.5,38.6,5.6,365.5,2000,1415.5,120,31.887222,-102.296945,21.35,31.89,-102.3,8,14,20,79375,Fine sandy loam,1.34,1,3
4515702,150,31.781111,-102.243889,20.4,2300,7.23,245,,909,273,54.6,170,2.46,28,11.7,267,603,48.7,6.65,1,3650,1598,150,31.781111,-102.243889,101.065,31.78,-102.24,15,23.2,27,80079,Loam,1.39,1,4
4515801,170,31.7829361,-102.1674167,21.38,1182.2,6.858,175.8,0.028766667,504.9342,159.6,24.9,65.6,1.2726,22.2326,5.892,113.2,286.2,14.24,1.6,1,3414,800.9442,170,31.7829361,-102.1674167,125.788125,31.78,-102.17,10,28,30,80087,Sandy loam,1.468,1,6
4516208,131,31.8526694,-102.070825,21.38,1343,7.198,210.2,0.0244,361.758,89.52,33.02,160.2,3.9538,50.6086,9.942,129.6,310.6,47.84,17.354,1,2120,924.7638,131,31.8526694,-102.070825,98.965,31.85,-102.07,10,14.9,15,79894,Fine sandy loam,3.236,1,3
4522503,215,31.685,-102.308056,21.25,1741,6.96,196,0.02,837,276,34.2,97.5,1.47,20,6.23,142,643,12.7,1.5,1,5905,1357,215,31.685,-102.308056,123.65,31.69,-102.31,20,26,35,79473,Clay loam,1.7,1,2
4522604,225,31.6936944,-102.2800444,22.14,934.8,7.05,178.4,0.02,356.005,108.66,19.98,61.1,1.4122,27.4406,4.974,56.98,201.2,11.654,1.6,2.298,2354,600.5838,225,31.6936944,-102.2800444,130.7663636,31.69,-102.28,20,32.5,45,79563,Clay,2.282,1,1
